ID Provinsi,Nama Provinsi,ID Kota/Kabupaten,Nama Kota/Kabupaten,ID Kecamatan,Nama Kecamatan,ID Kelurahan/Desa,Nama Kelurahan/Desa,ID TPS,Nama TPS,DPT,DPTb,DPK,Paslon 01,Paslon 02,Paslon 03,Suara Sah,Suara Tidak Sah,Total Suara,Status,Gambar Formulir Model C.Hasil-PPWP ke-1,Gambar Formulir Model C.Hasil-PPWP ke-2,Gambar Formulir Model C.Hasil-PPWP ke-3
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001037,TPS 037,null,null,null,41,104,77,null,null,null,INVALID,null,https://sirekap-obj-formc.kpu.go.id/0dc7/pemilu/ppwp/34/04/06/20/01/3404062001037-20240214-190247--0e8112ef-c6af-4ad0-bd0d-5c1f20217219.jpg,https://sirekap-obj-formc.kpu.go.id/0dc7/pemilu/ppwp/34/04/06/20/01/3404062001037-20240214-175446--4e9e0444-f707-4ff5-803a-a64afc15d1df.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001038,TPS 038,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001039,TPS 039,null,null,null,33,99,75,null,null,null,INVALID,https://sirekap-obj-formc.kpu.go.id/a612/pemilu/ppwp/34/04/06/20/01/3404062001039-20240214-155242--a17d5006-1185-49f4-b256-d6931075a6d7.jpg,https://sirekap-obj-formc.kpu.go.id/a612/pemilu/ppwp/34/04/06/20/01/3404062001039-20240214-155721--04ebe7e9-8f4c-415b-851b-de8c910c718b.jpg,https://sirekap-obj-formc.kpu.go.id/a612/pemilu/ppwp/34/04/06/20/01/3404062001039-20240214-155753--42b7cca1-8287-4f24-9968-d09f9fa282a6.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001040,TPS 040,209,6,1,44,85,40,169,4,173,VALID,https://sirekap-obj-formc.kpu.go.id/a8de/pemilu/ppwp/34/04/06/20/01/3404062001040-20240214-223036--28c1b71e-3c82-49de-beea-0f34f6f09838.jpg,https://sirekap-obj-formc.kpu.go.id/a8de/pemilu/ppwp/34/04/06/20/01/3404062001040-20240214-223223--fa2261d6-8f15-4c57-b320-869c063165f6.jpg,https://sirekap-obj-formc.kpu.go.id/a8de/pemilu/ppwp/34/04/06/20/01/3404062001040-20240214-223340--91765620-c344-403a-8174-9820bf75f6ce.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001041,TPS 041,null,null,null,null,null,null,null,null,null,PROCESS,null,null,null
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001042,TPS 042,265,9,2,78,75,75,228,4,232,VALID,https://sirekap-obj-formc.kpu.go.id/bb9f/pemilu/ppwp/34/04/06/20/01/3404062001042-20240214-141019--23251457-c141-4825-b50b-801a13a9a74e.jpg,https://sirekap-obj-formc.kpu.go.id/bb9f/pemilu/ppwp/34/04/06/20/01/3404062001042-20240214-141021--26119112-a92e-42b4-9c0d-e6c8d2f561fb.jpg,https://sirekap-obj-formc.kpu.go.id/bb9f/pemilu/ppwp/34/04/06/20/01/3404062001042-20240214-141014--48e9c07c-49cc-4c27-9664-d0b049b81610.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001043,TPS 043,218,5,0,33,70,86,189,1,190,VALID,https://sirekap-obj-formc.kpu.go.id/303e/pemilu/ppwp/34/04/06/20/01/3404062001043-20240214-155018--fa76e80f-b317-4690-91cd-ebbf3fc5ff93.jpg,https://sirekap-obj-formc.kpu.go.id/303e/pemilu/ppwp/34/04/06/20/01/3404062001043-20240214-155104--bdfe7343-bd11-413c-be58-661035cc67f5.jpg,https://sirekap-obj-formc.kpu.go.id/303e/pemilu/ppwp/34/04/06/20/01/3404062001043-20240214-155135--565d8e24-d0c8-4840-a5d7-4d407e146815.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001044,TPS 044,236,5,0,41,96,63,200,1,201,VALID,https://sirekap-obj-formc.kpu.go.id/df41/pemilu/ppwp/34/04/06/20/01/3404062001044-20240214-204657--44202126-2113-4655-a626-3ac0af66713a.jpg,https://sirekap-obj-formc.kpu.go.id/df41/pemilu/ppwp/34/04/06/20/01/3404062001044-20240214-204702--21abb1ed-7663-45f1-8f05-fda4127e0866.jpg,https://sirekap-obj-formc.kpu.go.id/df41/pemilu/ppwp/34/04/06/20/01/3404062001044-20240214-204707--bfb8b3b7-9f50-4e61-a035-d27ccf1d7f9d.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001045,TPS 045,266,10,1,43,111,86,240,6,246,VALID,https://sirekap-obj-formc.kpu.go.id/f62d/pemilu/ppwp/34/04/06/20/01/3404062001045-20240216-211619--f5580003-e9c4-4569-9e68-197343d14673.jpg,https://sirekap-obj-formc.kpu.go.id/f62d/pemilu/ppwp/34/04/06/20/01/3404062001045-20240216-211620--3306d97f-f6e8-4e00-9a9c-5d6682399de2.jpg,https://sirekap-obj-formc.kpu.go.id/f62d/pemilu/ppwp/34/04/06/20/01/3404062001045-20240216-211619--f4d61b0e-063e-4d9b-9114-c6d1c364dc72.jpg
34,DAERAH ISTIMEWA YOGYAKARTA,3404,SLEMAN,340406,MLATI,3404062001,SINDUADI,3404062001046,TPS 046,265,5,1,32,125,78,235,0,235,VALID,https://sirekap-obj-formc.kpu.go.id/ff93/pemilu/ppwp/34/04/06/20/01/3404062001046-20240216-133349--2ca32033-a873-42e3-9d2b-f916681f6575.jpg,https://sirekap-obj-formc.kpu.go.id/ff93/pemilu/ppwp/34/04/06/20/01/3404062001046-20240216-133350--01721871-aab6-4488-921b-c482345eac4a.jpg,https://sirekap-obj-formc.kpu.go.id/ff93/pemilu/ppwp/34/04/06/20/01/3404062001046-20240216-133350--1eea7262-5042-4412-ab4b-b92d6bcfdb5f.jpg
